S_01,W01_R
S_02,W02_R
S_03,W03_R
S_04,W04_R
S_05,W05_R
S_06,W06_R
S_07,W07_R
S_08,W08_R
S_09,W09_R
S_10,W10_R
S_11,W11_R
S_12,W12_R
S_13,W13_R
S_14,W14_R
S_15,W15_UR
S_16,W16_UR
S_17,W17_UR
S_18,W18_UR
S_19,W19_UR
S_20,W20_UR
S_21,W21_UR
S_22,W22_UR
S_23,W23_UR
S_24,W24_UR
S_25,W25_UR
S_26,W26_UR
S_27,W27_R
S_28,W28_R
S_29,W29_R
S_30,W30_R
S_31,W31_R
S_32,W32_UR
S_33,W33_R
S_34,W34_R
S_35,W35_R
S_36,W36_R
S_37,W37_R
S_38,W38_R
S_39,W39_UR
S_40,W40_UR
S_41,W41_UR
S_42,W42_UR
S_43,W43_UR
S_44,W44_R
S_45,W45_R
S_46,W46_R
S_47,W47_R
S_48,W48_R
S_49,W49_R
S_50,W50_R
S_51,W51_R
S_52,W52_R
S_53,W53_UR
S_54,W54_R
S_55,W55_R
S_56,W56_UR
S_57,W57_R
S_58,W58_R
S_59,W59_R
S_60,W60_R
S_61,W61_R
S_62,W62_R
S_63,W63_UR
S_64,W64_UR
S_65,W65_UR
S_66,W66_UR
S_67,W67_UR
S_68,W68_UR
S_69,W69_UR
S_70,W70_UR
S_71,W71_R
S_72,W72_R
S_73,W73_R
S_74,W74_R
S_75,W75_R
S_76,W76_R
S_77,W77_R
S_78,W78_UR
S_79,W79_UR
S_80,W80_UR
S_81,W81_UR
S_82,W82_UR
S_83,W83_UR
S_84,W84_UR
S_85,W85_UR
S_86,W86_UR
S_87,W87_UR
S_88,W88_UR
S_89,W89_UR
S_90,W90_R
S_91,W91_R
S_92,W92_R
S_93,W93_R
S_94,W94_R
S_95,W95_R
S_96,W96_R
S_97,W97_R
S_98,W98_R
S_99,W99_R
S_100,W100_UR
S_101,W101_UR
S_102,W102_UR
S_103,W103_UR
S_104,W104_UR
S_105,W105_UR
S_106,W106_R
S_107,W107_UR
S_108,W108_UR
S_109,W109_UR
S_110,W110_UR
S_111,W111_R
S_112,W112_UR
S_113,W113_UR
S_114,W114_UR
S_115,W115_UR
S_116,W116_UR
S_117,W117_UR
S_118,W118_UR
S_119,W119_UR
S_120,W120_UR
S_121,W121_UR
S_122,W122_UR
